source,target
/session/15-best-practices-for-designing-enterprise-restful-apis-in-the-cloud,BackEnd
/session/15-best-practices-for-designing-enterprise-restful-apis-in-the-cloud,AppDev
/session/5-essential-sql-skills-every-developer-should-know,DataTech
/session/a-database-devops-pipeline,OpsTech
/session/a-database-devops-pipeline,DataTech
/session/a-developers-guide-to-unlocking-better-results-on-the-cloud,BackEnd
/session/a-fresh-approach-to-data-platforms,DataTech
/session/a-fresh-approach-to-data-platforms,BackEnd
/session/a-fresh-approach-to-data-platforms,Architecture
/session/a-new-hope-for-2023-what-developers-must-learn-next,TechLead
/session/a-new-hope-for-2023-what-developers-must-learn-next,Architecture
/session/accelerating-microservice-delivery-with-google-cloud-and-harness-ci,OpsTech
/session/accelerating-microservice-delivery-with-google-cloud-and-harness-ci,FrontEnd
/session/accelerating-microservice-delivery-with-google-cloud-and-harness-ci,BackEnd
/session/architecting-cloud-native-microservices,Architecture
/session/architecting-cloud-native-microservices,BackEnd
/session/automation-first-people-centric-aiops,OpsTech
/session/automation-first-people-centric-aiops,DeepTech
/session/aws-lambda-and-serverless-framework-deep-dive,BackEnd
/session/beyond-logs-real-time-anomaly-detection-with-machine-learning,DeepTech
/session/beyond-logs-real-time-anomaly-detection-with-machine-learning,DataTech
/session/boost-developer-productivity-with-open-cloud-native-java,BackEnd
/session/boost-developer-productivity-with-open-cloud-native-java,AppDev
/session/building-a-scalable-cloud-native-platform-the-key-to-success,BackEnd
/session/building-a-scalable-cloud-native-platform-the-key-to-success,OpsTech
/session/building-a-scalable-cloud-native-platform-the-key-to-success,Architecture
/session/building-better-applications-with-architecture-best-practices,Architecture
/session/building-better-applications-with-architecture-best-practices,FrontEnd
/session/building-better-applications-with-architecture-best-practices,BackEnd
/session/building-stable-scalable-and-agile-distributed-systems-at-enterprise-scale,Architecture
/session/choosing-from-the-many-ways-to-docker-in-azure,OpsTech
/session/choosing-from-the-many-ways-to-docker-in-azure,BackEnd
/session/chopping-the-monolith,Architecture
/session/chopping-the-monolith,OpsTech
/session/cloud-ux-making-the-cloud-user-friendly,BackEnd
/session/cloud-ux-making-the-cloud-user-friendly,FrontEnd
/session/code-less-create-more-empowering-digital-transformation,AppDev
/session/code-less-create-more-empowering-digital-transformation,OpsTech
/session/connectivity-patterns-for-cloud-native-applications,Architecture
/session/connectivity-patterns-for-cloud-native-applications,BackEnd
/session/data-focused-programming-with-pattern-matching-in-java,DataTech
/session/data-focused-programming-with-pattern-matching-in-java,BackEnd
/session/data-oriented-programming-in-java,BackEnd
/session/data-oriented-programming-in-java,Architecture
/session/data-with-purpose-embeddings-are-all-you-need,DeepTech
/session/data-with-purpose-embeddings-are-all-you-need,DataTech
/session/decision-dials,TechLead
/session/decision-dials,Architecture
/session/decomposition-patterns,Architecture
/session/decomposition-patterns,BackEnd
/session/deep-dive-microprofile-60-with-jakarta-ee-10-core-profile,BackEnd
/session/devsecops-productivity-metrics-and-tools,OpsTech
/session/elements-of-distributed-architectures,Architecture
/session/empowering-developers-driving-innovation-for-the-future-of-work,TechLead
/session/event-driven-autoscaling-for-serverless-java,BackEnd
/session/event-driven-autoscaling-for-serverless-java,Architecture
/session/event-driven-autoscaling-for-serverless-java,DeepTech
/session/event-messaging-and-streaming-with-apache-pulsar,DataTech
