source,target
/speaker/venkat-subramaniam,/session/imperative-vs-functional-which-one-to-choose
/speaker/venkat-subramaniam,/session/decision-dials
/speaker/venkat-subramaniam,/session/programming-with-serviceloader-api-in-java
/speaker/venkat-subramaniam,/session/lets-have-some-fun-with-game-of-life-and-learn-to-think-functionally-along-the-way
/speaker/venkat-subramaniam,/session/transforming-data-using-the-functional-api
/speaker/venkat-subramaniam,/session/understanding-performance-of-react-applications
/speaker/michael-carducci,/session/personal-knowledge-management-logseq-methods-and-madness
/speaker/michael-carducci,/session/5-essential-sql-skills-every-developer-should-know
/speaker/michael-carducci,/session/the-secrets-to-smart-flexible-self-describing-api
/speaker/michael-carducci,/session/sufficiently-advanced-technology-software-sorcery
/speaker/michael-carducci,/session/the-linked-data-revolution-is-here-are-you-ready
/speaker/michael-carducci,/session/six-essential-soft-skills-for-the-software-architect
/speaker/mark-richards,/session/how-to-think-like-an-architect
/speaker/mark-richards,/session/testing-software-architecture
/speaker/mark-richards,/session/patterns-of-event-driven-architecture
/speaker/mark-richards,/session/decomposition-patterns
/speaker/mark-richards,/session/understanding-the-differences-between-modularity-and-granularity
/speaker/mark-richards,/session/elements-of-distributed-architectures
/speaker/neal-ford,/session/granularity-communication-for-microservice-architectures
/speaker/neal-ford,/session/software-architecture-the-hard-parts
/speaker/neal-ford,/session/meta-modern-software-architecture
/speaker/ganesh-lakshminarayanan,/session/from-telco-to-tech-co-revolutionising-it-infrastructure-for-start-ups
/speaker/mika-tirronen,/session/exploring-the-world-class-finnish-quantum-technology-ecosystem
/speaker/rajeev-purohit,/session/journey-to-500m-an-engineers-view
/speaker/abhishek-biswal,/session/revolutionizing-customer-engagement-with-a-cutting-edge-cpaas-solution
/speaker/abir-das,/session/pybandit-a-website-optimization-framework-for-e-commerce-smbs
/speaker/ashima-purohit,/session/prescriptive-to-descriptive-paradigm-growth-beyond-talent
/speaker/asir-selvasingh,/session/spring-apps-at-scale-from-0-to-5b-to-100b-requests
/speaker/bharath-kumar-b,/session/code-less-create-more-empowering-digital-transformation
