"source","target","relevance"
"/speaker/venkat-subramaniam","explore","0.012"
"/speaker/venkat-subramaniam","implement","0.012"
"/speaker/venkat-subramaniam","version","0.012"
"/speaker/venkat-subramaniam","help","0.012"
"/speaker/venkat-subramaniam","different","0.025"
"/speaker/venkat-subramaniam","consequence","0.012"
"/speaker/venkat-subramaniam","alleviate","0.012"
"/speaker/venkat-subramaniam","choice","0.012"
"/speaker/venkat-subramaniam","live","0.012"
"/speaker/venkat-subramaniam","way","0.037"
"/speaker/venkat-subramaniam","art","0.012"
"/speaker/venkat-subramaniam","jdk","0.012"
"/speaker/venkat-subramaniam","performance","0.049"
"/speaker/venkat-subramaniam","other","0.012"
"/speaker/venkat-subramaniam","choose","0.025"
"/speaker/venkat-subramaniam","introduce","0.012"
"/speaker/venkat-subramaniam","lambda","0.012"
"/speaker/venkat-subramaniam","solve","0.012"
"/speaker/venkat-subramaniam","own","0.012"
"/speaker/venkat-subramaniam","decision","0.037"
"/speaker/venkat-subramaniam","big","0.012"
"/speaker/venkat-subramaniam","many","0.012"
"/speaker/venkat-subramaniam","provide","0.012"
"/speaker/venkat-subramaniam","have","0.062"
"/speaker/venkat-subramaniam","come","0.012"
"/speaker/venkat-subramaniam","sight","0.012"
"/speaker/venkat-subramaniam","presentation","0.049"
"/speaker/venkat-subramaniam","stream","0.025"
"/speaker/venkat-subramaniam","keynote","0.012"
"/speaker/venkat-subramaniam","coding","0.012"
"/speaker/venkat-subramaniam","game","0.037"
"/speaker/venkat-subramaniam","session","0.012"
"/speaker/venkat-subramaniam","constraint","0.037"
"/speaker/venkat-subramaniam","occasion","0.012"
"/speaker/venkat-subramaniam","well","0.025"
"/speaker/venkat-subramaniam","end","0.025"
"/speaker/venkat-subramaniam","solution","0.012"
"/speaker/venkat-subramaniam","data","0.012"
"/speaker/venkat-subramaniam","talk","0.025"
"/speaker/venkat-subramaniam","role","0.012"
"/speaker/venkat-subramaniam","get","0.037"
"/speaker/venkat-subramaniam","situation","0.012"
"/speaker/venkat-subramaniam","serviceloader","0.025"
"/speaker/venkat-subramaniam","work","0.012"
"/speaker/venkat-subramaniam","think","0.012"
"/speaker/venkat-subramaniam","play","0.012"
"/speaker/venkat-subramaniam","emerge","0.012"
"/speaker/venkat-subramaniam","enterprise","0.012"
"/speaker/venkat-subramaniam","application","0.025"
"/speaker/venkat-subramaniam","concise","0.012"
"/speaker/venkat-subramaniam","secret","0.012"
"/speaker/venkat-subramaniam","start","0.025"
"/speaker/venkat-subramaniam","life","0.025"
"/speaker/venkat-subramaniam","become","0.012"
"/speaker/venkat-subramaniam","look","0.074"
"/speaker/venkat-subramaniam","apis","0.012"
"/speaker/venkat-subramaniam","technical","0.012"
"/speaker/venkat-subramaniam","easy","0.012"
"/speaker/venkat-subramaniam","part","0.012"
"/speaker/venkat-subramaniam","functional","0.086"
"/speaker/venkat-subramaniam","understanding","0.012"
"/speaker/venkat-subramaniam","possible","0.012"
"/speaker/venkat-subramaniam","technique","0.012"
"/speaker/venkat-subramaniam","system","0.012"
"/speaker/venkat-subramaniam","most","0.012"
"/speaker/venkat-subramaniam","excellent","0.012"
"/speaker/venkat-subramaniam","pain","0.012"
"/speaker/venkat-subramaniam","various","0.012"
"/speaker/venkat-subramaniam","familiar","0.025"
"/speaker/venkat-subramaniam","write","0.012"
"/speaker/venkat-subramaniam","keep","0.012"
"/speaker/venkat-subramaniam","lead","0.012"
"/speaker/venkat-subramaniam","plain","0.012"
"/speaker/venkat-subramaniam","tie","0.012"
"/speaker/venkat-subramaniam","module","0.012"
