"sourcecountrycode","targetcountrycode","relationshiptype","weight"
"GB","AL","VOTE_2004_JURY","1"
"FI","AL","VOTE_2004_JURY","3"
"IE","AL","VOTE_2004_JURY","2"
"SE","AL","VOTE_2004_JURY","7"
"CS","AL","VOTE_2004_JURY","8"
"NO","AL","VOTE_2004_JURY","3"
"SI","AL","VOTE_2004_JURY","4"
"MK","AL","VOTE_2004_JURY","12"
"TR","AL","VOTE_2004_JURY","6"
"HR","AL","VOTE_2004_JURY","6"
"CH","AL","VOTE_2004_JURY","7"
"BE","AL","VOTE_2004_JURY","1"
"RO","AL","VOTE_2004_JURY","1"
"IS","AL","VOTE_2004_JURY","4"
"DE","AL","VOTE_2004_JURY","5"
"MT","AL","VOTE_2004_JURY","10"
"FR","AL","VOTE_2004_JURY","1"
"LV","AL","VOTE_2004_JURY","1"
"GR","AL","VOTE_2004_JURY","10"
"AT","AL","VOTE_2004_JURY","5"
"DK","AL","VOTE_2004_JURY","4"
"NL","AL","VOTE_2004_JURY","1"
"BA","AL","VOTE_2004_JURY","4"
"BA","AL","VOTE_2005_JURY","5"
"FR","AL","VOTE_2005_JURY","1"
"TR","AL","VOTE_2005_JURY","2"
"CS","AL","VOTE_2005_JURY","8"
"GR","AL","VOTE_2005_JURY","10"
"CH","AL","VOTE_2005_JURY","10"
"MK","AL","VOTE_2005_JURY","12"
"AT","AL","VOTE_2005_JURY","3"
"HR","AL","VOTE_2005_JURY","2"
"GR","AL","VOTE_2008_JURY","10"
"SI","AL","VOTE_2008_JURY","4"
"SM","AL","VOTE_2008_JURY","3"
"CH","AL","VOTE_2008_JURY","8"
"TR","AL","VOTE_2008_JURY","1"
"MK","AL","VOTE_2008_JURY","12"
"ME","AL","VOTE_2008_JURY","7"
"AZ","AL","VOTE_2008_JURY","1"
"BA","AL","VOTE_2008_JURY","1"
"HR","AL","VOTE_2008_JURY","8"
"CH","AL","VOTE_2009_JURY","6"
"HU","AL","VOTE_2009_JURY","2"
"ME","AL","VOTE_2009_JURY","7"
"SI","AL","VOTE_2009_JURY","2"
"MK","AL","VOTE_2009_JURY","7"
"GR","AL","VOTE_2009_JURY","7"
"TR","AL","VOTE_2009_JURY","10"
"SE","AL","VOTE_2009_JURY","1"
"HR","AL","VOTE_2009_JURY","5"
"EE","AL","VOTE_2009_JURY","1"
"BE","AL","VOTE_2010_JURY","3"
"BA","AL","VOTE_2010_JURY","5"
"RO","AL","VOTE_2010_JURY","1"
"TR","AL","VOTE_2010_JURY","7"
"CH","AL","VOTE_2010_JURY","8"
"PL","AL","VOTE_2010_JURY","2"
"DE","AL","VOTE_2010_JURY","1"
"HR","AL","VOTE_2010_JURY","5"
"GR","AL","VOTE_2010_JURY","10"
"MK","AL","VOTE_2010_JURY","12"
"IS","AL","VOTE_2010_JURY","7"
"GB","AL","VOTE_2010_JURY","1"
"TR","AL","VOTE_2012_JURY","5"
"SE","AL","VOTE_2012_JURY","1"
"ME","AL","VOTE_2012_JURY","10"
"RS","AL","VOTE_2012_JURY","1"
"FI","AL","VOTE_2012_JURY","6"
"CY","AL","VOTE_2012_JURY","4"
"SI","AL","VOTE_2012_JURY","3"
"BG","AL","VOTE_2012_JURY","4"
"MT","AL","VOTE_2012_JURY","1"
"AT","AL","VOTE_2012_JURY","8"
"IT","AL","VOTE_2012_JURY","12"
"LV","AL","VOTE_2012_JURY","1"
"DE","AL","VOTE_2012_JURY","6"
"MK","AL","VOTE_2012_JURY","12"
"CH","AL","VOTE_2012_JURY","12"
"BA","AL","VOTE_2012_JURY","6"
"HU","AL","VOTE_2012_JURY","8"
"GE","AL","VOTE_2012_JURY","3"
"GR","AL","VOTE_2012_JURY","10"
"BE","AL","VOTE_2012_JURY","10"
"SM","AL","VOTE_2012_JURY","12"
"DK","AL","VOTE_2012_JURY","5"
"HR","AL","VOTE_2012_JURY","5"
"RO","AL","VOTE_2012_JURY","1"
"BE","AL","VOTE_2015_JURY","6"
"ME","AL","VOTE_2015_JURY","10"
"MK","AL","VOTE_2015_JURY","12"
"GR","AL","VOTE_2015_JURY","6"
"IE","AL","VOTE_2018_JURY","2"
"GB","AL","VOTE_2018_JURY","7"
"PT","AL","VOTE_2018_JURY","10"
"RS","AL","VOTE_2018_JURY","1"
"ME","AL","VOTE_2018_JURY","10"
"PL","AL","VOTE_2018_JURY","7"
"SI","AL","VOTE_2018_JURY","4"
"MK","AL","VOTE_2018_JURY","6"
"GE","AL","VOTE_2018_JURY","4"
"CY","AL","VOTE_2018_JURY","6"
"AT","AL","VOTE_2018_JURY","7"
"HR","AL","VOTE_2018_JURY","1"
"BE","AL","VOTE_2018_JURY","2"
"HU","AL","VOTE_2018_JURY","10"
"CZ","AL","VOTE_2018_JURY","6"
"IS","AL","VOTE_2018_JURY","10"
"AZ","AL","VOTE_2018_JURY","12"
"BG","AL","VOTE_2018_JURY","7"
"GR","AL","VOTE_2018_JURY","7"
"BY","AL","VOTE_2018_JURY","7"
"MK","AL","VOTE_2019_JURY","8"
"CY","AL","VOTE_2019_JURY","2"
"RU","AL","VOTE_2019_JURY","3"
"GR","AL","VOTE_2019_JURY","3"
"SM","AL","VOTE_2019_JURY","7"
"MT","AL","VOTE_2019_JURY","2"
"AZ","AL","VOTE_2019_JURY","7"
"RO","AL","VOTE_2019_JURY","2"
"IT","AL","VOTE_2019_JURY","1"
"ME","AL","VOTE_2019_JURY","8"
"ME","AL","VOTE_2018_PUBLIC","10"
"SI","AL","VOTE_2018_PUBLIC","1"
"GR","AL","VOTE_2018_PUBLIC","10"
"IT","AL","VOTE_2018_PUBLIC","12"
"CH","AL","VOTE_2018_PUBLIC","7"
"MK","AL","VOTE_2018_PUBLIC","12"
"HR","AL","VOTE_2018_PUBLIC","4"
"AT","AL","VOTE_2018_PUBLIC","2"
"IT","AL","VOTE_2019_PUBLIC","12"
"GR","AL","VOTE_2019_PUBLIC","5"
"ME","AL","VOTE_2019_PUBLIC","7"
"CH","AL","VOTE_2019_PUBLIC","10"
"HR","AL","VOTE_2019_PUBLIC","1"
"MK","AL","VOTE_2019_PUBLIC","12"
"NL","AL","VOTE_2021_JURY","1"
"DK","AL","VOTE_2021_JURY","7"
"MT","AL","VOTE_2021_JURY","12"
"SM","AL","VOTE_2021_JURY","2"
"GR","AL","VOTE_2021_PUBLIC","7"
"MK","AL","VOTE_2021_PUBLIC","10"
"CH","AL","VOTE_2021_PUBLIC","7"
"HR","AL","VOTE_2021_PUBLIC","1"
"IT","AL","VOTE_2021_PUBLIC","10"
"AZ","AL","VOTE_2023_JURY","8"
"RO","AL","VOTE_2023_JURY","5"
"GR","AL","VOTE_2023_JURY","3"
"MD","AL","VOTE_2023_JURY","1"
"AT","AL","VOTE_2023_PUBLIC","3"
"HR","AL","VOTE_2023_PUBLIC","6"
"IT","AL","VOTE_2023_PUBLIC","7"
"DE","AL","VOTE_2023_PUBLIC","8"
"BE","AL","VOTE_2023_PUBLIC","3"
"CH","AL","VOTE_2023_PUBLIC","12"
"SI","AL","VOTE_2023_PUBLIC","7"
"MT","AL","VOTE_2023_PUBLIC","3"
"GR","AL","VOTE_2023_PUBLIC","4"
"XX","AL","VOTE_2023_PUBLIC","6"
"GB","AT","VOTE_1957_JURY","2"
"NL","AT","VOTE_1957_JURY","1"
"BE","AT","VOTE_1958_JURY","1"
"CH","AT","VOTE_1958_JURY","2"
"LU","AT","VOTE_1958_JURY","1"
"SE","AT","VOTE_1958_JURY","1"
"FR","AT","VOTE_1958_JURY","3"
"CH","AT","VOTE_1959_JURY","1"
"SE","AT","VOTE_1959_JURY","2"
"MC","AT","VOTE_1959_JURY","1"
"IT","AT","VOTE_1960_JURY","1"
"BE","AT","VOTE_1960_JURY","1"
"DK","AT","VOTE_1960_JURY","2"
"GB","AT","VOTE_1960_JURY","2"
"GB","AT","VOTE_1961_JURY","1"
"SE","AT","VOTE_1963_JURY","3"
"FI","AT","VOTE_1963_JURY","4"
"GB","AT","VOTE_1963_JURY","4"
"DK","AT","VOTE_1963_JURY","1"
"FR","AT","VOTE_1963_JURY","2"
"BE","AT","VOTE_1963_JURY","2"
"BE","AT","VOTE_1964_JURY","1"
"IT","AT","VOTE_1964_JURY","5"
"ES","AT","VOTE_1964_JURY","5"
"PT","AT","VOTE_1965_JURY","5"
"IE","AT","VOTE_1965_JURY","5"
"IT","AT","VOTE_1965_JURY","3"
"GB","AT","VOTE_1965_JURY","3"
"LU","AT","VOTE_1966_JURY","5"
"MC","AT","VOTE_1966_JURY","5"
"FR","AT","VOTE_1966_JURY","3"
"IT","AT","VOTE_1966_JURY","3"
"ES","AT","VOTE_1966_JURY","1"
"YU","AT","VOTE_1966_JURY","5"
"BE","AT","VOTE_1966_JURY","5"
"CH","AT","VOTE_1966_JURY","3"
"PT","AT","VOTE_1966_JURY","1"
"YU","AT","VOTE_1967_JURY","1"
"PT","AT","VOTE_1967_JURY","1"
"DE","AT","VOTE_1968_JURY","2"
"SE","AT","VOTE_1971_JURY","4"
"FI","AT","VOTE_1971_JURY","3"
"MC","AT","VOTE_1971_JURY","5"
"NL","AT","VOTE_1971_JURY","3"
"ES","AT","VOTE_1971_JURY","2"
"IT","AT","VOTE_1971_JURY","6"
"BE","AT","VOTE_1971_JURY","3"
"IE","AT","VOTE_1971_JURY","6"
"NO","AT","VOTE_1971_JURY","5"
"FR","AT","VOTE_1971_JURY","3"
"GB","AT","VOTE_1971_JURY","3"
"MT","AT","VOTE_1971_JURY","3"
"CH","AT","VOTE_1971_JURY","2"
"YU","AT","VOTE_1971_JURY","4"
"DE","AT","VOTE_1971_JURY","7"
"LU","AT","VOTE_1971_JURY","2"
"PT","AT","VOTE_1971_JURY","5"
"ES","AT","VOTE_1972_JURY","6"
"YU","AT","VOTE_1972_JURY","8"
"NL","AT","VOTE_1972_JURY","9"
"IE","AT","VOTE_1972_JURY","6"
"GB","AT","VOTE_1972_JURY","3"
"IT","AT","VOTE_1972_JURY","6"
"FR","AT","VOTE_1972_JURY","6"
"NO","AT","VOTE_1972_JURY","5"
"PT","AT","VOTE_1972_JURY","5"
"MT","AT","VOTE_1972_JURY","5"
"BE","AT","VOTE_1972_JURY","4"
"MC","AT","VOTE_1972_JURY","5"
"FI","AT","VOTE_1972_JURY","4"
"CH","AT","VOTE_1972_JURY","7"
"LU","AT","VOTE_1972_JURY","5"
"SE","AT","VOTE_1972_JURY","10"
"DE","AT","VOTE_1972_JURY","6"
"NL","AT","VOTE_1976_JURY","7"
"MC","AT","VOTE_1976_JURY","5"
"FI","AT","VOTE_1976_JURY","5"
"IE","AT","VOTE_1976_JURY","10"
"GB","AT","VOTE_1976_JURY","4"
"BE","AT","VOTE_1976_JURY","3"
"GR","AT","VOTE_1976_JURY","6"
"IL","AT","VOTE_1976_JURY","10"
"DE","AT","VOTE_1976_JURY","10"
"NO","AT","VOTE_1976_JURY","2"
"CH","AT","VOTE_1976_JURY","3"
"YU","AT","VOTE_1976_JURY","2"
"LU","AT","VOTE_1976_JURY","5"
"ES","AT","VOTE_1976_JURY","8"
"NO","AT","VOTE_1977_JURY","2"
"FI","AT","VOTE_1977_JURY","1"
"GR","AT","VOTE_1977_JURY","3"
"MC","AT","VOTE_1977_JURY","5"
"DE","AT","VOTE_1978_JURY","1"
"TR","AT","VOTE_1978_JURY","3"
"PT","AT","VOTE_1978_JURY","3"
"SE","AT","VOTE_1978_JURY","5"
"DK","AT","VOTE_1978_JURY","2"
"GB","AT","VOTE_1979_JURY","1"
"IT","AT","VOTE_1979_JURY","4"
"IE","AT","VOTE_1980_JURY","10"
"NO","AT","VOTE_1980_JURY","6"
"GB","AT","VOTE_1980_JURY","6"
"DK","AT","VOTE_1980_JURY","5"
"DE","AT","VOTE_1980_JURY","4"
"PT","AT","VOTE_1980_JURY","3"
"BE","AT","VOTE_1980_JURY","1"
"FI","AT","VOTE_1980_JURY","5"
"MA","AT","VOTE_1980_JURY","3"
"ES","AT","VOTE_1980_JURY","4"
"FR","AT","VOTE_1980_JURY","4"
"GR","AT","VOTE_1980_JURY","1"
"CH","AT","VOTE_1980_JURY","4"
"NL","AT","VOTE_1980_JURY","3"
"SE","AT","VOTE_1980_JURY","1"
"IT","AT","VOTE_1980_JURY","4"
"SE","AT","VOTE_1981_JURY","2"
"ES","AT","VOTE_1981_JURY","6"
"FR","AT","VOTE_1981_JURY","5"
