id,genre
10003,Action
10003,Adventure
10003,Romance
10003,Science Fiction
10003,Thriller
100046,Comedy
100046,Drama
100046,Romance
10004,Fantasy
10004,Horror
10004,Thriller
10007,Horror
10007,Thriller
10008,Horror
10008,Indie
10008,Thriller
10009,Adventure
10009,Animation
10009,Family
10009,Fantasy
10010,Adventure
10010,Animation
10010,Comedy
10010,Family
10010,Fantasy
10012,Comedy
10012,Horror
10014,Horror
10015,Action
10015,Adventure
10015,Comedy
10015,Drama
10015,War
10016,Action
10016,Horror
10016,Science Fiction
10017,Action
10017,Adventure
10017,Road Movie
10017,Science Fiction
10017,Thriller
10019,Comedy
10019,Fantasy
10019,Romance
10019,Science Fiction
10020,Animation
10020,Family
10021,Comedy
10021,Romance
10022,Action
10022,Comedy
10022,Family
10023,Action
10023,Comedy
10023,Crime
100241,Horror
100241,Thriller
10024,Drama
10025,Comedy
10025,Drama
10025,Family
10025,Fantasy
10025,Romance
100271,Animation
100271,Drama
10027,Action
10027,Crime
10028,Drama
10029,Comedy
10029,Crime
10029,Thriller
10030,Comedy
10030,Drama
10030,Fantasy
10030,Romance
10032,Comedy
10033,Comedy
10033,Romance
10035,Comedy
10035,Drama
10035,Romance
100402,Action
100402,Adventure
100402,Science Fiction
10040,Action
10040,Comedy
10045,Action
10045,Science Fiction
10045,Thriller
10047,Action
10047,Adventure
10047,Drama
10047,History
10047,War
10048,Action
10049,Action
10049,Thriller
10050,Comedy
10050,Romance
100529,Comedy
10052,Drama
10053,Horror
10053,Thriller
10054,Action
10054,Adventure
10054,Comedy
10054,Family
10057,Action
10057,Adventure
10057,Comedy
10060,Action
10060,Adventure
10060,Crime
10060,Drama
10060,Musical
10061,Action
10061,Adventure
10061,Science Fiction
10061,Thriller
10063,Horror
10064,Drama
10064,Thriller
10065,Drama
10065,Horror
10065,Thriller
10066,Horror
10066,Suspense
10067,Comedy
10067,Family
10067,Fantasy
10068,Drama
10068,Romance
10069,Horror
10069,Thriller
10070,Action
10070,Comedy
10070,Horror
10072,Horror
10072,Thriller
10073,Comedy
10073,Romance
10074,Action
10074,Comedy
10075,Drama
10075,Horror
10075,Romance
10075,Thriller
10077,Action
10077,Adventure
10077,Science Fiction
10077,Thriller
10083,Action
10083,Adventure
10083,Drama
10083,Mystery
10083,Romance
10083,Thriller
10086,Action
10086,Crime
100898,Drama
100898,Romance
10090,Action
10090,Adventure
10090,Comedy
10090,Crime
10092,Horror
10092,Thriller
10096,Comedy
10098,Comedy
10098,Drama
100,Comedy
100,Crime
10105,Action
10105,Adventure
10105,Drama
10105,History
10105,War
10110,Drama
10110,History
10110,War
10112,Adventure
10112,Animation
10112,Comedy
10112,Family
10115,Comedy
10115,Drama
10115,Family
10115,Sports Film
10116,Action
101173,Drama
101173,Thriller
101179,Horror
101179,Mystery
101179,Thriller
10117,Action
10117,Adventure
10117,Comedy
10117,Crime
10117,Drama
10118,Comedy
10118,Drama
10118,Family
10118,Romance
10122,Adventure
10122,Family
10122,Science Fiction
101267,Documentary
101267,Music
10126,Action
10126,Crime
10126,Drama
10127,Comedy
10127,Horror
10127,Science Fiction
101299,Action
101299,Adventure
101299,Science Fiction
101299,Thriller
10130,Drama
10131,Horror
10131,Thriller
10133,Mystery
10133,Science Fiction
10133,Thriller
10134,Action
10134,Science Fiction
10135,Action
10135,Thriller
10136,Action
10136,Adventure
10136,Comedy
10137,Adventure
10137,Animation
10137,Comedy
10137,Family
10137,Fantasy
10137,Science Fiction
10138,Action
10138,Adventure
10138,Science Fiction
10139,Drama
10139,History
10140,Fantasy
10141,Comedy
10141,Crime
10142,Drama
10142,History
10142,War
10144,Animation
10144,Family
10145,Crime
10145,Drama
10145,Horror
10145,Mystery
10145,Science Fiction
10145,Thriller
10147,Comedy
10147,Crime
10147,Holiday
10150,Animation
10150,Family
10150,Fantasy
101519,Comedy
101519,Thriller
10152,Comedy
10153,Drama
10153,Horror
10153,Mystery
10153,Science Fiction
10153,Thriller
10154,Comedy
10154,Crime
10154,Romance
10155,Comedy
10155,Drama
10155,Thriller
10156,Comedy
10156,Musical
10157,Action
10157,Comedy
10157,Crime
10158,Comedy
10158,Drama
10158,Sport
10159,Action
10159,Adventure
10159,Comedy
10159,Thriller
10160,Horror
10160,Thriller
10161,Drama
10163,Horror
10163,Science Fiction
10163,Thriller
101669,Crime
101669,Drama
101669,Horror
101669,Thriller
10166,Adventure
10166,Comedy
10166,Family
10166,Fantasy
10166,Horror
10166,Science Fiction
10167,Action
10167,Crime
10167,Thriller
10172,Comedy
10172,Drama
10172,Family
101731,Comedy
101731,Drama
10173,Action
10173,Thriller
10176,Drama
10176,Science Fiction
10176,Thriller
10178,Drama
10178,War
10183,Crime
10183,Drama
10183,Thriller
10184,Comedy
10184,Drama
10184,Romance
10185,Crime
10185,Drama
10185,Horror
10185,Mystery
10185,Thriller
10186,Comedy
10186,Music
10186,Musical
10187,Comedy
10187,Drama
10188,Adventure
10188,Comedy
10188,Drama
10188,Family
10189,Action
10189,Comedy
1018,Drama
1018,Mystery
1018,Suspense
101907,Action
101907,Animation
101907,Fantasy
101907,Science Fiction
10191,Adventure
10191,Animation
10191,Family
10191,Fantasy
10192,Adventure
10192,Animation
10192,Comedy
10192,Family
10192,Fantasy
10193,Animation
10193,Comedy
10193,Family
10195,Action
10195,Adventure
10195,Fantasy
10196,Action
10196,Adventure
10196,Family
10196,Fantasy
10197,Drama
10197,Music
10197,Romance
10198,Animation
10198,Family
10198,Fantasy
10199,Animation
10199,Comedy
10199,Family
101,Crime
101,Drama
101,Thriller
102001,Drama
10200,Science Fiction
10201,Comedy
10201,Romance
10202,Comedy
10202,Family
10202,Fantasy
10202,Romance
10204,Action
10204,Adventure
10204,Comedy
10204,Family
10204,Romance
10204,Western
10206,Action
10206,Comedy
10206,Horror
10207,Drama
10207,Romance
10208,Comedy
10208,Family
10208,Fantasy
10208,Science Fiction
10210,Comedy
10210,Drama
10210,Fantasy
10210,Romance
10212,Horror
10212,Thriller
10213,Action
10213,Horror
10213,Thriller
10214,Adventure
10214,Comedy
10214,Family
10214,Fantasy
10215,Comedy
10216,Action
10216,Horror
10216,Science Fiction
10218,Comedy
10218,Indie
10218,Romance
102207,Adventure
102207,Comedy
10220,Crime
10220,Drama
10222,Action
10222,Sport
10222,Thriller
10223,Suspense
10223,Thriller
10225,Horror
10225,Mystery
10225,Thriller
10226,Horror
10226,Mystery
10226,Thriller
10228,Animation
10229,Drama
10229,Family
10229,Romance
10234,Drama
10234,Horror
10234,Thriller
102362,Action
102362,Crime
102362,Drama
102362,Thriller
10236,Drama
10236,Romance
102382,Action
102382,Adventure
102382,Fantasy
1023,Comedy
1023,Crime
1023,Drama
10242,Drama
10242,Thriller
10246,Comedy
10249,Action
10249,Adventure
10249,Family
10249,Science Fiction
1024,Drama
1024,Fantasy
1024,Indie
10253,Action
10253,Drama
10253,Fantasy
10253,Horror
10253,Science Fiction
10253,Thriller
102629,Action
102629,Adventure
102629,Drama
102629,Thriller
10263,Fantasy
10263,Horror
10263,Thriller
10264,Drama
10264,History
102651,Action
102651,Adventure
102651,Family
102651,Fantasy
102651,Romance
10269,Drama
10269,Music
10269,Romance
10276,Comedy
102780,Drama
102780,Fantasy
102780,Thriller
102784,Action
102784,Crime
102784,Drama
10280,Drama
10280,Horror
10281,Horror
10281,Thriller
10283,Horror
10283,Thriller
10285,Horror
10285,Thriller
10288,Comedy
10288,Drama
10288,Horror
10288,Indie
10294,Horror
10294,Thriller
10295,Action
10295,Comedy
10297,Comedy
10297,Musical
10297,Romance
10303,Action
10303,Adventure
10303,Comedy
10303,Romance
10304,Action
10304,Adventure
10304,Horror
10304,Science Fiction
10304,Thriller
10306,Horror
10306,Thriller
10307,Horror
10307,Thriller
10312,Comedy
10312,Drama
10313,Comedy
10313,War
10314,Comedy
10314,Romance
10315,Adventure
10315,Animation
10315,Comedy
10315,Family
10316,Drama
10320,Drama
10320,Horror
10320,Thriller
10322,Comedy
10322,Drama
10323,Adventure
10323,Family
10323,Fantasy
103269,Action
103269,Animation
10326,Adventure
10326,Drama
10326,Fantasy
10326,Romance
10326,Science Fiction
10327,Comedy
10327,Romance
10328,Comedy
10328,Drama
10328,Science Fiction
10329,Action
10329,Adventure
10329,Drama
10329,Mystery
10329,Science Fiction
10329,Thriller
10330,Comedy
10330,Family
10330,Fantasy
10331,Horror
103328,Drama
103328,Fantasy
103332,Comedy
103332,Drama
103332,Fantasy
103332,Romance
10336,Action
10336,Adventure
10336,Fantasy
10336,Horror
10336,Science Fiction
10336,Thriller
103370,Comedy
10337,Action
10337,Adventure
10337,Crime
10337,Drama
10337,Romance
10339,Action
10339,Adventure
10339,Drama
10340,Animation
10340,Family
10342,Comedy
10342,Suspense
10342,Thriller
10344,Horror
10344,Science Fiction
10344,Thriller
10345,Action
10345,Adventure
10345,Comedy
10345,Crime
10347,Action
10347,Crime
10348,Action
10348,Adventure
10351,Horror
10353,Comedy
10353,Fantasy
10357,Action
10357,Drama
10357,Science Fiction
10357,Thriller
10358,Comedy
10360,Drama
10360,History
103620,Crime
103620,Horror
103620,Mystery
103620,Thriller
10362,Drama
10362,Romance
103663,Drama
10366,Action
10366,Science Fiction
10366,Thriller
10366,War
103686,Drama
10372,Fantasy
10372,Science Fiction
103731,Drama
103740,Drama
103740,Romance
103747,Comedy
103747,Drama
10375,Action
10375,Thriller
10376,Drama
10376,Music
10376,Romance
10377,Comedy
10377,Drama
10379,Comedy
10379,Family
10379,Fantasy
10380,Adventure
10380,Animation
10380,Family
10386,Adventure
10386,Animation
10386,Family
10386,Fantasy
10386,Science Fiction
10389,Horror
10390,Drama
10390,Romance
10390,Sport
10393,Action
10393,Comedy
10393,Sports Film
10395,Horror
10395,Thriller
10396,Action
10396,Adventure
10396,Crime
10396,Romance
10396,Thriller
10398,Crime
10398,Drama
10398,Mystery
10398,Thriller
10399,Drama
10399,Romance
103,Crime
103,Drama
10400,Drama
10402,Comedy
10403,Comedy
10403,Crime
10403,Drama
10403,Mystery
10404,Drama
10406,Comedy
10406,Family
10407,Comedy
10407,Romance
10409,Comedy
10409,Drama
10409,Romance
10412,Action
10412,Drama
10412,Thriller
10413,Action
10413,Adventure
10413,Drama
10413,Thriller
10414,Comedy
10414,Family
10414,Sport
104155,Documentary
10423,Action
10423,Drama
10425,Action
10425,Crime
10425,Drama
10425,Thriller
10426,Comedy
10426,Drama
10428,Action
10428,Crime
10428,Drama
10428,Thriller
10431,Action
10431,Crime
10431,Thriller
104329,Action
104329,Mystery
104329,Thriller
10435,Drama
10436,Drama
10436,Romance
10437,Comedy
10437,Family
10437,Fantasy
10437,Holiday
10438,Comedy
10438,Family
10439,Comedy
10439,Family
10439,Fantasy
10440,Comedy
10440,Crime
10440,Indie
10440,Mystery
10440,Thriller
10442,Comedy
10442,Crime
10442,Romance
10443,Drama
10449,Drama
10449,Romance
10451,Comedy
10451,Drama
10451,Romance
10461,Action
10461,Crime
10461,Drama
10461,Thriller
10464,Comedy
10464,Drama
10464,Family
10464,Romance
10466,Comedy
10466,Romance
10468,Drama
10468,Romance
10471,Comedy
10473,Action
10473,Adventure
10473,Comedy
10473,Fantasy
10474,Crime
10474,Drama
10474,Sport
104755,Horror
104755,Thriller
10476,Drama
10476,Indie
10476,Musical
10477,Action
10477,Adventure
10477,Drama
10477,Thriller
10478,Comedy
10478,Drama
10478,Romance
10478,Sports Film
10479,Action
10479,Adventure
10479,Drama
10479,History
10479,War
10480,Comedy
10480,Crime
10480,Indie
10480,Thriller
10481,Comedy
10481,Family
10483,Action
10483,Science Fiction
10483,Thriller
10485,Comedy
10485,Family
10485,Fantasy
10488,Adventure
10488,Comedy
10488,Family
10488,Fantasy
10489,Horror
10489,Thriller
10491,Action
10493,Drama
10493,Thriller
10494,Animation
10494,Thriller
