id,title,avgvote,releaseyear,tagline
10003,The Saint,6.300000,1997,Never reveal your name. Never turn your back. Never surrender your heart.
100046,The Giant Mechanical Man,5.700000,2012,
10004,Desperation,6.500000,2006,"In this town, there are no accidents."
10007,See No Evil,5.000000,2006,This summer. Evil gets raw.
10008,An American Haunting,6.700000,2005,Possession Knows No Bounds
10009,Brother Bear,6.200000,2003,The story of a boy who became a man by becoming a bear.
10010,Brother Bear 2,6.000000,2006,
10012,Cursed,6.800000,2004,What doesn't kill you makes you stronger.
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.800000,1985,Someone is coming back to Elm Street!
10015,Heartbreak Ridge,7.100000,1986,...the scars run deep.
10016,Ghosts of Mars,5.300000,2001,Terror is the same on any planet.
10017,The Wraith,6.500000,1986,He's not from around here...
10019,Mannequin,6.300000,1987,"Just because Jonathan's fallen in love with a piece of wood, it doesn't make him a dummy."
10020,Beauty and the Beast,6.900000,1991,The most beautiful love story ever told.
10021,The Secret of My Success,6.500000,1987,There's no such thing as an overnight success. Brantley Foster took two weeks.
10022,The Pacifier,5.400000,2005,Welcome to the infantry.
10023,Dragnet,6.200000,1987,Just The Facts
100241,"I, Frankenstein",5.600000,2014,"In the battle between good and evil, an immortal holds the key"
10024,My Sister's Keeper,7.000000,2009,Based on the Best Selling Novel
10025,Just My Luck,5.400000,2006,Everything changed in the wink of an eye.
100271,A Letter to Momo,8.100000,2011,
10027,Unleashed,6.400000,2005,Serve No Master
10028,Honey,5.900000,2003,Her dream. Her terms
10029,Very Bad Things,6.600000,1998,
10030,Good Luck Chuck,5.800000,2007,He has to break his curse before she breaks his heart.
10032,Van Wilder 2: The Rise of Taj,5.300000,2006,The Legend is Growing.
10033,Just Friends,6.000000,2005,He loves her. She loves him not.
10035,100 Girls,6.800000,2000,He met the girl of his dreams. If only he can meet her again.
100402,Captain America: The Winter Soldier,7.800000,2014,In heroes we trust.
10040,Miss Congeniality 2: Armed and Fabulous,5.600000,2005,You might feel a little prick
10045,District B13,6.800000,2004,Welcome to District B13. Welcome to the future
10047,The Messenger: The Story of Joan of Arc,6.200000,1999,
10048,Stealth,5.200000,2005,Fear The Sky
10049,Attack Force,6.900000,2006,
10050,Get Over It,5.800000,2001,"Young, Free And Single. Again."
100529,Lola Versus,4.900000,2012,"Lola vs. Sex, Love, Lola, The World."
10052,Dragonfly,6.400000,2002,When someone you love dies... are they gone forever?
10053,When a Stranger Calls,5.600000,2006,Evil Hits Home
10054,Spy Kids,5.300000,2001,Real spies...Only smaller
10057,The Three Musketeers,6.200000,1993,"They're Scoundrels, Playboys, Outlaws . . . The Greatest Heroes Who Ever Lived."
10060,Get Rich or Die Tryin',7.000000,2005,If You Think You Know the Story...You Don't Know the Man.
10061,Escape from L.A.,6.000000,1996,Snake Is Back.
10063,The Breed,6.400000,2006,Let the manhunt begin.
10064,Edison,6.000000,2005,"In this city, only the cops are above the law."
10065,The Amityville Horror,5.700000,2005,What happened over the next 28 days has never been explained.
10066,House of Wax,5.600000,2005,Prey. Slay. Display
10067,The Shaggy Dog,4.700000,2006,
10068,Nine 1/2 Weeks,6.100000,1986,They Broke Every Rule
10069,Stay Alive,4.700000,2006,You die in the game - you die for real.
10070,Feast,6.800000,2005,
10072,A Nightmare on Elm Street 3: Dream Warriors,6.200000,1987,"If you think you're ready for Freddy, think again!"
10073,Date Movie,4.100000,2006,An Unprotected Comedy
10074,Hot Rod,5.800000,2007,Smack destiny in the face.
10075,Blood and Chocolate,6.200000,2007,The hunt never tasted so sweet.
10077,A Sound of Thunder,5.500000,2005,Some Rules Should Never Be Broken.
10083,No Way Out,6.400000,1987,"Is it a crime of passion, or an act of treason?"
10086,Man Bites Dog,7.700000,1992,
100898,North Sea Texas,8.600000,2011,A teenage boy's search for love finds him fixated on the boy next door.
10090,Reno 911!: Miami,6.100000,2007,"In a time of crisis, America will call Reno 911!"
10092,Cry Wolf,5.500000,2005,Nobody believes a liar...even when they're telling the truth.
10096,13 Going On 30,5.700000,2004,"For some, 13 feels like it was just yesterday. For Jenna, it was."
10098,The Kid,8.000000,1921,6 reels of Joy.
100,"Lock, Stock and Two Smoking Barrels",7.200000,1998,A Disgrace to Criminals Everywhere.
10105,Saints and Soldiers,7.100000,2003,
10110,Empire of the Sun,7.100000,1987,"To survive in a world at war, he must find a strength greater than all the events that surround him."
10112,The Aristocats,6.300000,1970,A tune-filled animated extravaganza.
10115,Stick It,5.800000,2006,It's not called gym-nice-tics.
10116,Shinobi: Heart Under Blade,5.800000,2005,
101173,Coriolanus,6.500000,2012,Nature Teaches Beasts to Know Their Friends
101179,Truth or Dare,6.100000,2012,Truth or Die
10117,Action Jackson,4.800000,1988,"It's Time For Action"
10118,Material Girls,4.800000,2006,It's A Short Trip From The Penthouse To The Poorhouse.
10122,Flight of the Navigator,7.200000,1986,Come along on the greatest adventure of the summer!
101267,Katy Perry: Part of Me,6.100000,2012,Be yourself and you can be anything
10126,Colors,5.900000,1988,"70,000 gang members. One million guns. Two cops."
10127,Critters 2,5.800000,1988,Get Ready for Seconds... They're Back
